fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
SBI Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,44923.0,1.53,26.43,21.37,14.37,1.36,15.51,2.51,0.95
SBI Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,4687.0,2.12,10.28,12.24,25.97,1.81,18.56,5.34,1.08
SBI Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,11608.0,0.84,41.06,25.57,20.69,1.29,21.28,0.0,0.97
SBI Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,47417.0,1.59,15.4,24.62,13.78,1.51,12.69,1.91,0.92
SBI Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,2235.0,2.35,26.42,14.45,27.61,1.15,12.72,5.82,1.07
SBI Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,2161.0,1.79,11.41,14.19,14.19,1.15,16.8,1.5,1.01
SBI ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,19622.0,0.85,19.79,24.76,23.12,0.88,17.3,1.62,0.88
SBI Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,4675.0,2.19,30.51,16.69,22.27,1.44,14.21,4.29,0.88
SBI Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,6476.0,1.36,19.15,19.65,16.95,1.45,12.06,1.68,0.94
SBI Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,5050.0,2.28,27.39,11.88,22.69,1.44,16.39,2.44,1.01
SBI Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,290.0,1.48,14.08,20.01,17.28,1.52,11.93,-1.33,0.92
SBI Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,44065.0,0.44,15.03,18.55,19.34,1.51,12.61,-0.29,0.99
SBI Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,49264.0,0.08,19.12,9.24,23.95,1.46,11.66,-0.71,1.01
SBI Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,25664.0,0.11,27.77,19.29,13.04,0.57,10.13,-0.35,1.02
SBI Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,4422.0,0.44,20.94,13.14,21.26,0.61,13.75,-0.76,0.99
SBI Nifty Smallcap 250 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,7165.0,0.09,18.96,19.1,19.14,0.98,20.68,0.02,1.0
SBI Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,15936.0,0.1,18.05,21.79,20.51,1.52,15.82,0.54,0.98
SBI Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,26206.0,0.41,17.87,15.94,13.96,0.68,20.96,-0.68,1.01
